Date,1COV.DE,ADSGn.DE,ALVG.DE,BASFn.DE,BAYGn.DE,BEIG.DE,BMWG.DE,CONG.DE,DAIGn.DE,DB1Gn.DE,DBKGn.DE,DHER.DE,DPWGn.DE,DTEGn.DE,DWNG.DE,EONGn.DE,FMEG.DE,FREG.DE,HEIG.DE,HNKG_p.DE,IFXGn.DE,LINI.DE,MRCG.DE,MTXGn.DE,MUVGn.DE,RWEG.DE,SAPG.DE,SIEGn.DE,VNAn.DE,VOWG_p.DE
2016-01-04,32.53,87.54,156.0,67.58,109.28374975,81.12,92.25,215.3,73.64,78.03,19.144296599999997,,25.23,16.04,25.07,7.355129144999999,74.6,62.57,74.22,98.98,13.1,,86.15,88.02,178.15,10.37064192,70.58,77.1018738,27.605,126.4
2016-01-05,32.155,87.24,156.5,67.2,109.48056875,82.0,91.82,216.65,73.63,77.79,19.452211860000002,,25.22,15.99,24.895,7.434952252,78.98,63.22,73.93,98.68,12.95,,87.62,88.3,177.55,10.58987424,71.43,77.5886622,27.79,121.4
2016-01-06,31.86,86.23,157.0,66.08,107.90601675,81.47,88.78,209.8,71.76,76.82,19.291560419999996,,25.09,16.09,24.66,7.405128234,79.74,62.97,72.56,98.18,12.55,,86.4,87.43,178.05,10.642299359999999,72.05,77.2821658,27.215,118.9
2016-01-07,30.8,84.89,153.75,64.47,105.15055075,79.48,85.44,204.7,69.0,74.99,18.876544199999998,,24.33,15.99,23.935,7.196360108,78.05,61.17,71.0,96.01,12.24,,83.64,85.52,174.75,10.35157824,71.34,75.8037714,26.705,115.0
2016-01-08,30.09,83.45,151.8,63.68,102.2474705,79.28,83.44,202.8,68.19,74.39,18.26517622,,24.06,15.755,23.865,7.060397673,77.5,60.87,69.4,95.3,11.93,,83.11,84.64,172.85,10.141877760000002,71.05,75.2809246,26.28,115.1
2016-01-11,30.27,85.26,152.4,63.25,101.164966,78.58,83.14,201.3,68.13,74.62,18.479378139999998,,23.725,15.665,23.52,7.169167621,75.96,59.42,69.0,93.96,12.0,,81.8,83.42,173.05,10.4373648,71.6,74.7941362,26.385,117.05
2016-01-12,30.825,86.29,154.3,64.31,102.54269900000001,80.95,84.85,205.2,69.14,76.39,18.75605562,,23.98,15.89,24.09,7.279691923,77.04,61.08,69.97,95.66,12.14,,83.26,84.01,175.55,10.513619519999999,74.25,75.226837,26.715,120.95
2016-01-13,32.37,85.74,154.55,64.28,102.69031325,81.46,82.89,200.8,68.24,76.37,18.648954659999998,,23.69,15.91,24.03,7.574423394999999,76.15,61.06,69.03,96.57,12.155,,83.12,85.0,177.35,10.8901272,73.73,74.9383698,26.605,120.5
2016-01-14,32.5,84.71,151.9,63.92,101.21417075,79.56,80.11,196.25,65.81,76.4,17.854622539999998,,23.385,15.685,23.96,7.4902144029999995,74.53,60.05,67.29,94.5,11.945,,81.82,82.88,175.85,10.81387248,73.03,75.07358880000001,26.1,116.0
2016-01-15,31.225,84.01,149.25,61.81,98.999957,78.46,78.02,191.5,64.53,75.07,17.11830344,,22.72,15.385,23.23,7.183202453,72.11,58.36,64.23,93.48,11.375,,79.2,79.45,173.3,10.3182168,70.68,73.649282,25.415,111.9
2016-01-18,30.51,89.26,148.1,60.79,99.44279975,79.01,78.1,192.9,64.92,74.93,16.5560234,,22.69,15.255,23.175,7.1946057539999995,71.72,58.14,63.89,89.64,11.685,,79.85,78.86,172.0,10.404003359999999,71.22,73.3157418,25.39,110.35
2016-01-19,31.135,92.0,149.7,61.17,100.8697375,80.84,78.86,194.4,65.53,75.48,16.832700879999997,,23.09,15.545,23.565,7.744595733000001,73.67,59.3,65.41,90.93,11.88,,80.83,80.0,175.0,11.30476224,72.29,74.15409960000001,26.0,110.1
2016-01-20,29.575,92.08,144.6,60.12,98.85234275,78.57,76.77,189.25,63.81,73.14,15.81524176,,22.37,14.895,22.975,7.341971489999999,71.63,57.32,63.18,88.95,11.73,,78.92,77.0,169.3,10.58987424,70.96,72.387238,24.99,104.6
2016-01-21,30.75,90.42,145.05,61.51,101.558604,79.39,78.7,194.0,65.62,74.31,15.2841995,,22.785,15.36,23.46,7.662141094999999,74.36,58.53,64.53,90.47,11.905,,81.0,78.19,170.95,11.233273440000001,71.71,73.4960338,25.94,110.4
2016-01-22,30.845,91.28,148.15,62.94,103.87122725,81.42,79.71,196.75,66.23,75.87,15.690290639999997,,23.43,15.845,24.38,7.7893317600000005,76.02,59.66,67.5,93.1,12.31,,82.44,82.02,173.45,11.42391024,72.0,75.0375304,27.37,112.95
2016-01-25,30.465,92.21,147.7,61.68,104.117251,82.05,78.92,196.1,65.1,77.0,14.824557879999999,,23.235,15.925,24.18,7.8981017079999996,77.93,60.96,66.02,94.49,12.325,,83.4,83.09,173.4,11.47633536,72.68,75.1907786,27.63,110.75
2016-01-26,30.075,92.62,147.1,62.08,103.67440825,82.62,79.4,197.5,65.09,76.44,15.279736960000001,,22.6,15.84,24.04,8.218271312999999,78.09,60.64,66.12,95.26,12.305,,83.0,84.27,173.45,12.200755200000001,72.49,81.672276,27.35,112.3
2016-01-27,29.18,93.01,147.5,60.95,103.37917975,83.61,79.96,199.6,65.93,79.01,15.26634934,,22.52,16.1,24.235,8.453354749,81.35,61.31,67.61,95.4,12.285,,82.17,84.02,175.75,12.277009920000001,73.38,79.7521662,27.07,111.85
