Date,.FCHI,.FTSE,.GDAXI,.HSI,.NDX,.NSEI,.SPX,.SSEC
2016-01-04,4522.45,6093.43,10283.44,21327.12,4497.857,7791.3,2012.66,3296.2582
2016-01-05,4537.63,6137.24,10310.1,21188.72,4484.18,7784.65,2016.71,3287.7105
2016-01-06,4480.47,6073.38,10214.02,20980.81,4443.985,7741.0,1990.26,3361.8404
2016-01-07,4403.58,5954.08,9979.85,20333.34,4305.724,7568.3,1943.09,3125.0015
2016-01-08,4333.76,5912.44,9849.34,20453.71,4270.782,7601.35,1922.03,3186.412
2016-01-11,4312.74,5871.83,9825.07,19888.5,4283.547,7563.85,1923.67,3016.7038
2016-01-12,4378.75,5929.24,9985.43,19711.76,4333.717,7510.3,1938.68,3022.8611
2016-01-13,4391.94,5960.97,9960.96,19934.88,4183.116,7562.4,1890.28,2949.5968
2016-01-14,4312.89,5918.23,9794.2,19817.41,4272.967,7536.8,1921.84,3007.6489
2016-01-15,4210.16,5804.1,9545.27,19520.77,4141.082,7437.8,1880.33,2900.9698
2016-01-18,4189.57,5779.92,9521.85,19237.45,,7351.0,,2913.8367
2016-01-19,4272.26,5876.8,9664.21,19635.81,4147.075,7435.1,1881.33,3007.7393
2016-01-20,4124.95,5673.58,9391.64,18886.3,4136.281,7309.3,1859.33,2976.6938
2016-01-21,4206.4,5773.79,9574.16,18542.15,4142.599,7276.8,1868.99,2880.4816
2016-01-22,4336.69,5900.01,9764.88,19080.51,4259.773,7422.45,1906.9,2916.5624
2016-01-25,4311.33,5877.0,9736.15,19340.14,4196.532,7436.15,1877.08,2938.5149
2016-01-26,4356.81,5911.46,9822.75,18860.8,4233.85,,1903.63,2749.7854
2016-01-27,4380.36,5990.37,9880.82,19052.45,4128.861,7437.75,1882.95,2735.5578
2016-01-28,4322.16,5931.78,9639.59,19195.83,4186.061,7424.65,1893.36,2655.6609
2016-01-29,4417.02,6083.79,9798.11,19683.11,4279.169,7563.55,1940.24,2737.5996
2016-02-01,4392.33,6060.1,9757.88,19595.5,4286.556,7555.95,1939.38,2688.8536
2016-02-02,4283.99,5922.01,9581.04,19446.84,4193.1,7455.55,1903.03,2749.5703
2016-02-03,4226.96,5837.14,9434.82,18991.59,4171.968,7361.8,1912.53,2739.2469
2016-02-04,4228.53,5898.76,9393.36,19183.09,4167.772,7404.0,1915.45,2781.0227
2016-02-05,4200.67,5848.06,9286.23,19288.17,4024.473,7489.1,1880.05,2763.492
2016-02-08,4066.31,5689.36,8979.36,,3960.671,7387.25,1853.44,
2016-02-09,3997.54,5632.19,8879.4,,3947.804,7298.2,1852.21,
2016-02-10,4061.2,5672.3,9017.29,,3966.275,7215.7,1851.86,
2016-02-11,3896.71,5536.97,8752.87,18545.8,3962.224,6976.35,1829.08,
2016-02-12,3995.06,5707.6,8967.51,18319.58,4019.191,6980.95,1864.78,
2016-02-15,4115.25,5824.28,9206.84,18918.14,,7162.95,,2746.1958
2016-02-16,4110.66,5862.17,9135.11,19122.08,4104.33,7048.25,1895.58,2836.5705
2016-02-17,4233.47,6030.32,9377.21,18924.57,4199.103,7108.45,1926.82,2867.3379
2016-02-18,4239.76,5971.95,9463.64,19363.08,4151.492,7191.75,1917.83,2862.8927
2016-02-19,4223.04,5950.23,9388.05,19285.5,4164.088,7210.75,1917.78,2860.0208
2016-02-22,4298.7,6037.73,9573.59,19464.09,4231.268,7234.55,1945.5,2927.175
2016-02-23,4238.42,5962.31,9416.77,19414.78,4162.54,7109.55,1921.27,2903.3313
2016-02-24,4155.34,5867.18,9167.8,19192.45,4200.659,7018.7,1929.8,2928.896
2016-02-25,4248.45,6012.81,9331.48,18888.75,4241.059,6970.6,1951.7,2741.2454
2016-02-26,4314.57,6096.01,9513.3,19364.15,4235.616,7029.75,1948.05,2767.2097
2016-02-29,4353.55,6097.09,9495.4,19111.93,4201.118,6987.05,1932.23,2687.9788
2016-03-01,4406.84,6152.88,9717.16,19407.46,4333.614,7222.3,1978.35,2733.17
2016-03-02,4424.89,6147.06,9776.62,20003.49,4334.386,7368.85,1986.45,2849.6811
2016-03-03,4416.08,6130.46,9751.92,19941.76,4325.862,7475.6,1993.4,2859.7582
2016-03-04,4456.62,6199.43,9824.17,20176.7,4329.0,7485.35,1999.99,2874.1468
2016-03-07,4442.29,6182.4,9778.93,20159.72,4303.334,,2001.76,2897.3395
2016-03-08,4404.02,6125.44,9692.82,20011.58,4265.51,7485.3,1979.26,2901.387
2016-03-09,4425.65,6146.32,9723.09,19996.26,4293.232,7531.8,1989.26,2862.556
2016-03-10,4350.35,6036.7,9498.15,19984.42,4286.966,7486.15,1989.57,2804.7255
2016-03-11,4492.79,6139.79,9831.13,20199.6,4361.83,7510.2,2022.19,2810.3074
2016-03-14,4506.59,6174.57,9990.26,20435.34,4367.329,7538.75,2019.64,2859.499
2016-03-15,4472.63,6139.97,9933.85,20288.77,4367.082,7460.6,2015.93,2864.3684
2016-03-16,4463.0,6175.49,9983.41,20257.7,4404.202,7498.75,2027.22,2870.43
2016-03-17,4442.89,6201.12,9892.2,20503.81,4400.263,7512.55,2040.59,2904.8319
2016-03-18,4462.51,6189.64,9950.8,20671.63,4410.828,7604.35,2049.58,2955.1498
2016-03-21,4427.8,6184.58,9948.64,20684.15,4426.977,7704.25,2051.6,3018.8017
2016-03-22,4431.97,6192.74,9990.0,20666.75,4437.619,7714.9,2049.8,2999.3628
2016-03-23,4423.98,6199.11,10022.93,20615.23,4402.559,7716.5,2036.71,3009.9604
2016-03-24,4329.68,6106.48,9851.35,20345.61,4405.532,,2035.94,2960.9704
2016-03-29,4366.67,6105.9,9887.94,20366.3,4467.719,7597.0,2055.01,2919.8318
2016-03-30,4444.42,6203.17,10046.61,20803.39,4490.876,7735.2,2063.95,3000.6449
2016-03-31,4385.06,6174.9,9965.51,20776.7,4483.655,7738.4,2059.74,3003.9152
2016-04-01,4322.24,6146.05,9794.64,20498.92,4532.082,7713.05,2072.78,3009.5298
2016-04-04,4345.22,6164.72,9822.08,,4511.704,7758.8,2066.13,
2016-04-05,4250.28,6091.23,9563.36,20177.0,4470.748,7603.2,2045.17,3053.0654
2016-04-06,4284.64,6161.63,9624.51,20206.67,4543.781,7614.35,2066.66,3050.592
2016-04-07,4245.91,6136.89,9530.62,20266.05,4475.285,7546.45,2041.91,3008.42
2016-04-08,4303.12,6204.41,9622.26,20370.4,4474.925,7555.2,2047.6,2984.9582
2016-04-11,4312.63,6200.12,9682.99,20440.81,4458.705,7671.4,2041.99,3033.957
2016-04-12,4345.91,6242.39,9761.47,20504.44,4496.045,7708.95,2061.72,3023.6464
2016-04-13,4490.31,6362.89,10026.1,21158.71,4554.722,7850.45,2082.42,3066.6381
2016-04-14,4511.51,6365.1,10093.65,21337.81,4554.625,,2082.78,3082.3615
2016-04-15,4495.17,6343.75,10051.57,21316.47,4543.161,,2080.73,3078.1166
2016-04-18,4506.84,6353.52,10120.31,21161.5,4565.421,7914.7,2094.34,3033.6604
2016-04-19,4566.48,6405.35,10349.59,21436.21,4537.09,,2100.8,3042.8232
2016-04-20,4591.92,6410.26,10421.29,21236.31,4540.438,7914.75,2102.4,2972.5837
2016-04-21,4582.83,6381.44,10435.73,21622.25,4540.799,7912.05,2091.48,2952.8911
2016-04-22,4569.66,6310.44,10373.49,21467.04,4474.192,7899.3,2091.58,2959.24
2016-04-25,4546.12,6260.92,10294.35,21304.44,4474.131,7855.05,2087.79,2946.6704
2016-04-26,4533.18,6284.52,10259.59,21407.27,4452.966,7962.65,2091.7,2964.6997
2016-04-27,4559.4,6319.91,10299.83,21361.6,4416.635,7979.9,2095.15,2953.6709
2016-04-28,4557.36,6322.4,10321.15,21388.03,4363.993,7847.25,2075.81,2945.5886
2016-04-29,4428.96,6241.89,10038.97,21067.05,4341.299,7849.8,2065.3,2938.3235
2016-05-02,4442.75,,10123.27,,4381.304,7805.9,2081.43,
2016-05-03,4371.98,6185.59,9926.77,20676.94,4341.392,7747.0,2063.37,2992.6432
2016-05-04,4324.23,6112.02,9828.25,20525.83,4312.014,7706.55,2051.12,2991.2721
2016-05-05,4319.46,6117.25,9851.86,20449.82,4309.485,7735.5,2050.63,2997.8416
2016-05-06,4301.24,6125.7,9869.95,20109.87,4330.168,7733.45,2057.14,2913.2476
2016-05-09,4322.81,6114.81,9980.49,20156.81,4341.231,7866.05,2058.69,2832.1125
2016-05-10,4338.21,6156.65,10045.44,20242.68,4402.038,7887.8,2084.39,2832.5912
2016-05-11,4316.67,6162.49,9975.32,20055.29,4361.033,7848.85,2064.46,2837.0372
2016-05-12,4293.27,6104.19,9862.12,19915.46,4342.809,7900.4,2064.11,2835.8618
2016-05-13,4319.99,6138.5,9952.9,19719.29,4326.531,7814.9,2046.61,2827.1087
2016-05-16,4312.28,6151.4,,19883.95,4380.484,7860.75,2066.66,2850.8617
